enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,primary_water_source,primary_water_other,water_year_round,pay_for_water,pay_frequency_20l,water_cost_affordable,pwd_ease_use,pwd_barriers,latrine_type,latrine_other,hfhk_latrine_satisfaction,latrine_flood_function,latrine_issue,latrine_safe_heavy_rain,all_members_use_latrine,who_not_use_latrine,handwashing_station,hws_components,hws_has_soap_and_water,hws_has_ash_and_water,hws_has_water,hws_has_nothing,handwash_after_toilet,handwash_before_eating,handwash_before_cooking,handwash_after_waste,handwash_after_cleaning,handwash_other,handwash_other_specify ,hygiene_practices_improved,hygiene_improvement_desc,flood_damage_decreased,flood_decrease_desc,flood_prep_actions,flood_prep_other,canal_desilt_helped,,activities_still_useful,useful_interventions,useful_access_kiosks,useful_latrines_sanitization,useful_training,useful_flood_awareness,useful_committees,useful_other,why_not_useful,most_positive_intervention,remaining_challenges,most_important_change,life_different_if_no_project
Andericus Oguma,Kaswa,Female,Yes,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,Reduction of water bone diseases,Yes,No proper drainage of water,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Teaching hygean make us safer,Lack of more canals to protect our farms,It makes us have good hygean to reduce diseases,No
Joy Dawince Otieno,Kabong'o,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's was not a permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,1,0,,Yes,Reduced water diseases,Yes,Because less flooding to damage the crop,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training Improved sanitation facilities,1,1,1,0,0,0,,Improved sanitation facilities,We should have water canals,Creating of awareness,Yes
Mollet Atieno,Kokech,Male ,,Yes,Yes,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,With difficulty ,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Water flood,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,WASH program which included good sanitation and better practice of hand washing,Yes,"When it overflows,he comes out of his home",Store water/food ,,Not sure,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Reduction of cholera cases in the community,"Not all people can afford water from the kiosk,not all people can afford monthly payment and when water overflows crops are damaged",On and off hospital attendance has reduced due to reduction of water borne diseases,Not Sure
Elizabeth Anyango,Borda,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,0,0,0,,Yes,Reduce diseases like cholera ,Yes,Less production ,Other,Not prepared ,No,,Yes,Access to clean water points (Kiosks) Hygiene education / training,1,0,1,0,0,0,,Improve hygean,No canals around my home ma always affected by flood,I benefit as artisan ,No
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,36-59 years (Adult),Salaried Employed,,"20,001 and Above",Yes,Protected public wells ,,Yes,No,,,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improved hygiene standards Practices on how to use clean water,No,,Use Protect latrines ,,Yes,,Yes,Improved sanitation facilities Hygiene education / training Flood preparedness awareness,0,1,1,1,0,0,,Hygiene education and training,"Less water kioks,less canals we need more canals","Reduction floods related infections, improved sanitation and hygiene",No
Joy Dawince Otieno,Kabong'o,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,No,It's flooded during rain season ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,0,1,0,,Yes,They is no water born diseases ,Yes,Destroyed the crops /flood on the homestead ,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Active community committees (e.g., WRUAs / WPCs) Improved sanitation facilities",1,1,0,0,1,0,,Improved hygiene skills ,Canals are not enough ,They is no diseases like typhoid and diarrhea ,No
Andericus Oguma,Kaswa,Male ,,Yes,Yes,36-59 years (Adult),"Other, Specify",Get from families and well-wishers ,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,With difficulty ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,0,1,1,0,0,0,,Yes,We don't get diseases ,Yes,Destroyed crops ,Other,Not having any solution ,Yes,,Yes,Hygiene education / training Improved sanitation facilities,0,1,1,0,0,0,,Practicing hygean to maintain our health ,Distance far from water kiosk,Reduce diseases like cholerae ,No
Mollet Atieno,Kokech,Female,Yes,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,No,,,With difficulty ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Good house and a good toilet,Yes,Reduced erosion,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,"A good house with good ventilation,can access a toilet and clean water","Not all people can access it





",Reduction of cholera cases,Yes
Mollet Atieno,Kokech,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,1,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Heavy rains makes it to collapse,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Cholera cases reduced,Not Sure,,Store water/food ,,Not sure,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Clean water access,Not all people are beneficiaries,Clean drinking water,No
Samuel Muga,Kogola East,Female,No,No,,36-59 years (Adult),Farming,,"20,001 and Above",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,2,Yes,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,No,Rain water causes damage by craving in of the pit latrine,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,1,0,,Yes,"Hygiene standards is improved, washing hand s at critical times",No,,Store water/food ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean and safe water,Due to change of weather we are likely to miss the supply of water.,"Drinking safe and clean water , meaning waterborne diseases are reduced.",No
Tom Ocharo,Kokech,Female,No,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,The Latrine sinks during the rain season/flood,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We use the knowledge acquired during wash training.,Yes,The desilted canals and other drainages enable the water to flow henceforth saved us from flood,Store water/food ,,Yes,,Yes,Improved sanitation facilities Hygiene education / training Flood preparedness awareness,0,1,1,1,0,0,,Education on sanitation and canal desilting,"We need more water kiosk, training our neighbours on Sanitation and perpetual desilting of Canals",We rarely visit the hospital because of sanitation training which improved hand washing hence reduce diarrhea and stomach pain,No
Tom Ocharo,Kokech,Male ,,No,,60+ years (Elderly),"Other, Specify","None ,He has retired","0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,30,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable during floods/rainy season,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,1,After shaking hands,Yes,We have chlorinated water from habitat which has reduced diseases,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Clean Habitat water and hygiene   Education have changed my life and my childre n can study well now because of availability of water,"We still need to extend water pipe from water kiosk to my home, hygiene education is vital and perpetual desilting of Canal","I am very happy to have fresh water as well as spending less time for fetching it, very great full to Habitat",No
Janet Wesonga,Kabong'o,Male ,,No,,18-35 years (Youth),Trade,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They overflow during flood.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,After practicing hygiene improved.,Yes,Properties damage,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Erosion reduction,More kiosk and hygiene training are needed.,Access to clean water.,No
Joy Dawince Otieno,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent latrine,No,Yes,,Yes,Soap and water,1,0,0,0,0,1,0,1,1,0,,Yes,There is no water born diseases,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Hygiene education / training Active community committees (e.g., WRUAs / WPCs)",1,0,1,0,1,0,,It's improved on hygiene skills,Canals are not enough for community,They is no water born diseases,No
Samuel Muga,Kogola East,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,"Too much rainfall making water to get into the pit, causing it to crave in",No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,CHVS gave us a proper training on how to manage hygiene and sanitation,Yes,"Floods flow upto my home and weakens my house, and destroy crops",Store water/food ,,Not sure,,Yes,Improved sanitation facilities Hygiene education / training Access to clean water points (Kiosks),1,1,1,0,0,0,,Access to clean and safe water,"The kiosk is quite far from my home, I may lack cash to buy soap for hand washing",My husband has been working as an Artisan earning wages and in other outlets within the project scope,No
Judith Onyango,Borda,Female,Yes,Yes,Yes,60+ years (Elderly),"Other, Specify",From well wishes because she has mentally disturbed and she has any family ,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,With difficulty ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Since 2021they start practice hygiene they are safe and diseases are reduced.,Yes,The canal take the water away from the home.,Use Protect latrines ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Hygiene education / training,1,1,1,1,0,0,,It reduces cholera because we are treating water we was our hand in good time so we are not affected by any diseases ,Only flood destroyed our crops but not much as the past,Our life has change because we are improving on hygiene practices.,No
Janet Wesonga,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Clean water,Yes,Clean water reduced water born desease,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Hygiene education / training",1,1,1,1,1,0,,Access to clean water,Kiosks are not enough and drainage to be cleared.,Reduction of desease,No
Eveline Adhiambo Otieno ,Kagola West,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,My family observing general hygiene practices hence reduction in water born diseases or diaorrrea ,No,,Use early warnings ,,No,,Yes,Improved sanitation facilities Hygiene education / training Flood preparedness awareness,0,1,1,1,0,0,,Hygiene skills and sanitation ,Lack  of enough canals especially my area,Flood resilient toilet which i am benefiting from,No
Tom Akumu,Kabong'o,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,0,0,,Yes,Less water borne deseases,No,,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean water from kiosks,More trees should be planted reduce flooding,Proper hygiene,No
Joy Dawince Otieno,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It's not permanent,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Using clean water,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities,1,1,0,0,0,0,,Use of clean water,Availability of enough hand washing materials,Education on hygiene,No
Tom Ocharo,Kokech,Female,No,No,,18-35 years (Youth),"Other, Specify",None ,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,30,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Floods or heavy rain destroy the toilets ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We are practicing hygiene after the training ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene training ,"We need more water kiosk,more hygiene training and desilting of the Canals",A bundant water supply,No
Elizabeth Anyango,Borda,Female,Yes,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,Yes (ramps/handrails) ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,0,0,,Yes,Reduce commutable diseases ,No,,Store water/food ,,Yes,,Yes,Hygiene education / training Access to clean water points (Kiosks) Improved sanitation facilities,1,1,1,0,0,0,,Water for drink ,Lack of detergent for washing ,Reduce diseases ,No
Samuel Muga,Kogola East,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,During rainy season floods fill the pit that results to structural damages ,No,Yes,,Yes,Soap and water,1,0,0,0,1,0,0,0,0,0,,Yes,We have installed hand washing containers ,Yes,"During heavy rainy season, the flood spread evenly and does not sink very fast, leading to crop damage. ",Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Improved sanitation facilities,"The kiosk is too far, so pipeline extension is necessary, there's no regular desilting in place ","I have undergone different trainings, such like capacity building, sanitation and hygiene ",No
Janet Wesonga,Kabong'o,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They collapse during rainy season.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Hygiene improvement.,Yes,Crop damage.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Good health.,More latrines are needed.,Access clean water.,No
Andericus Oguma,Kaswa,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Piped HFHK Water,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Water flooding,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Waterborne diseases have truly gone down immensely,No,,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Access to water,On floods it isn't much but if canals can be disilted  often then we'll be okay.,"Access to water, has been a game changer, pure clean water actually a multipurpose.",Yes
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Reduced rates of diaorrrea within my family,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved hygiene skills ,More Water points should be added ,Hygiene training and education ,No
Joy Dawince Otieno,Kabong'o,Male ,,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,With difficulty ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,It's improved hygiene skills,Yes,Destroyed the crops,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Improved sanitation facilities",1,1,1,1,1,0,,Improved sanitation facilities,Drainage and canals should be maintained,They is no water born diseases like typhoid and cholera,No
Mollet Atieno,Kokech,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Provision of water kiosks  enabling clean water access has reduced cholera cases,Yes,Crops damage has decreased due to presence of canals,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Provision of the water to the community improving unity,"When there is no sun,the water can't be pumped",Reduced diarheal cases,No
Tom Akumu,Kabong'o,Male ,,No,,60+ years (Elderly),Casual Labour,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,The modern toilet has improved our hygiene,No,,Use Protect latrines ,,Yes,,Yes,Improved sanitation facilities Hygiene education / training,0,1,1,0,0,0,,Improved toilet,Upredi table rain,Having a modern toilet has helped us alot,No
