enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,water_l_per_day,kiosk_use_frequency,time_fetch_before,time_fetch_now,time_change,time_change_reasons,time_reason_closer,time_reason_shorter_queue,time_reason_reduced_cost,time_reason_improved_quality,time_reason_other,time_reason_other_specify,women_less_time_fetch,women_time_for ,women_time_income,women_time_childcare,women_time_school,women_time_chores,women_time_rest,women_time_other,women_time_other_specify,income_increased,income_increase_where,income_increase_farming,income_increase_small businesses ,income_increase_maintenance_jobs ,income_increase_education ,income_increase_health ,income_increase_livestock ,income_increase_other,income_increase_other_specify,water_quality_change,borehole_functional,borehole_functional_reason,borehole_breakdowns,breakdown_frequency,committees_meeting,reduced_conflicts,reduced_conflicts_describe,10. Who is currently responsible for repairs and maintenance of:,repairs_water,repairs_latrines,repairs_canals,user_fees_effective,community_sustain_without_support,hfkh_latrine_use,latrine_satisfaction,latrine_functional_during_flood,latrine_issue_text,hfkh_latrine_use_frequency,girls_comfortable_using_latrine_night,women_latrine_use_night_and_floods,rare_latrine_use_night_and_floods_desc,place_to_wash_hands,water_available_at_hws,soap_available_today,when_wash_hands,when_wash_hands_after_defecation,when_wash_hands_after_handling child_adultfeces,when_wash_hands_after_cleaning_environment,when_wash_hands_before_preparing_food,when_wash_hands_before_eating_food,5. How often do you wash your hands at the following times? ,after_defecation_handwash_often,before_eating__handwash_often,before_preparing_food_handwash_often,after_cleaning_environment_handwash_often,after_handling child_adult feces_handwash_often,phast_training,who_attended,who_attended_adult_women,who_attended_adult_men,who_attended_children,who_attended_youth,who_attended_other,Other,practices_started,practices_started_wash_with_soap_after_defecation,practices_started_wash_with_soap_before_eating,practices_built_improved_latrine,practices_treat_drinking_water,practices_store_water_safe,practices_use_squat_hole_cover,practices_keep_latrine_clean,practices_handwashing_station,practices_safe_child_feces,practices_other,Other (please specify),hygiene_training_reduced_illness,hygiene_change_desc,why_training_has_no_impact,any_water_related_illnesses_still_experienced,which_illness,still_using_practices,no_explain_why,some_explain_why,diarrhea_past_2wks,feel_safer_accessing,flood_prep_actions_stored_water,flood_prep_actions_raised_belongings,flood_prep_actions_raise_latrine,flood_prep_actions_dug_cleared,flood_prep_actions_dug_cleared,flood_prep_actions_evac_plan,flood_prep_actions_planted_trees,flood_prep_actions_none,flood_prep_actions_other,Other Specify ,aware_canal_desilting,participated_awareness_sessions,2a. Did youth (15-35 years) participate in the following project activities?,youth_participation_training,youth_participation_canal_work,youth_participation_committees,youth_participation_construction,2b. Where in this project has skills or leadership roles for youth been created (Jobs),youth_jobs_roles_water_committee,youth_jobs_maintenance,youth_jobs_hygiene_trainers,youth_jobs_none,youth_jobs_not_sure,usefulness_awareness_sessions,canal_works_helped_reduce_flooding,community_committee_maintains_canals ,community_committee_still_active ,household_member participated_canal_maintenance,have_desilted_canals_and_embankments_reduced_flooding,effective_desilted_canals_and_embankments_reducing_floods,household_prepared_for_seasonal_flooding,canal_buffers_surviving_improved_environment,canal_trees_helped_how,reliable_water_help_income,,,home_affected_by_flood_last_year,what_kind_of_damage,flood_damage_property,flood_damage_crop_loss,flood_damage_contamination,flood_damage_latrine_collapse,flood_damage_other,flood_damage_other_specify,what_to_do_before_flood,flood_pre_warnings_received,flood_warning_from,flood_warning_from_canal_committee,flood_warning_from_village_head,flood_warning_from_government_official,flood_warning_from_sms_radio,flood_warning_from_other,village_better_protected,flood_warning_from_other_specify,distance_in_meters
Janet Wesonga,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Shorter queues Closer water source,1,1,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields   Health  Livestock  Paid maintenance jobs ,1,0,1,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queue,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Youth,0,0,0,1,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,0,0,1,1,1,1,1,1,0,,Yes,Water born deseases have reduced.,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,No,No,Maintenance jobs ,0,1,0,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,"Store enough food, raise house holds in a higher position.",Yes,Canal Committee Government official SMS/radio,1,0,1,1,0,Somewhat better protected,,462.03
Judith Onyango,Borda,Male ,,No,,18-35 years (Youth),Farming,,"20,001 and Above",Yes,20–50 litres ,Daily,30–60 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities  School attendance (especially girls)  Childcare  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Livestock   Health  Education ,1,1,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,No large number of people during fetching water.,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,, Rarely ,It can collapse any time during flood.,Yes,Yes,Yes,After defecation After cleaning the environment Before preparing food Before eating food,1,0,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth Children,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers",1,1,1,1,1,0,0,0,0,0,,Yes,It reduces the rate of diarrhea ,,No,,Yes,,,No,Much safer,Dug or cleared drainage/canals Stored food/water in advance Raised household belongings  Built/raised latrine above ground  Developed evacuation plan,1,1,1,1,1,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Hygiene trainers  Maintenance jobs ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Digging of canals around the house.,Yes,SMS/radio Government official Village Head,0,1,1,1,0,Much better protected,,495.35
Mollet Atieno,Kokech,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,51–100 litres ,Rarely,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Paid maintenance jobs  Education   Health  Livestock ,1,1,1,1,1,1,0,,No change ,Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Many people can afford the water,,Water Committee,Water Committee,Water Committee,Yes,No,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Reduced cases of diarheal diseases,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss,1,1,0,0,0,,Store enough food for the future,Yes,Canal Committee Village Head,1,1,0,0,0,Somewhat better protected,,712.37
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,18-35 years (Youth),Salaried Employed,,"0 - 10,000",Yes,51–100 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,No,Other,0,0,0,0,0,0,1,None,No change ,Yes,,No,,Yes,Yes,Construction of canals has reduced floods in affected areas,,Water Committee,Don't know,Water Committee,Don’t know,Not sure,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,No change ,Stored food/water in advance,1,0,0,0,0,0,0,0,,Yes,No,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,0,0,0,0,1,Somewhat usefu,Somewhat,Yes,Yes,No, Somewhat ,Somewhat effective,No,Damaged,No change,No effect,,,No,,,,,,,,,No,,,,,,,Somewhat better protected,,390.67
Samuel Muga,Kogola East,Female,Yes,Yes,Yes,60+ years (Elderly),"Other, Specify","She is incapacitated, therefore depends on well-wishers of good will ","0 - 10,000",Yes,>100 litres,Never,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,No,Other,0,0,0,0,0,0,1,"I am an elderly with some physical disabilities, therefore I can't work",No change ,Yes,,No,,Yes,Yes,"Long queues have reduced, and more water outlets (kiosks) have been added ",,Water Committee,Water Committee,Water Committee,Yes,Not sure,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation Before eating food,1,0,0,0,1,,Often,Often,Sometimes ,Never,Often,Yes,Adult men Adult women Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Constructed or use a handwashing station (e.g., tippy tap)",1,1,0,1,1,0,0,1,0,0,,Yes,The spread of germs that causes cholera has been reduced ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers  Water committee roles ,1,1,1,0,0,Somewhat usefu,Somewhat,Not sure,,No, Somewhat ,Somewhat effective,Yes,Damaged,No change,No effect,,,No,,,,,,,,,Yes,SMS/radio Government official,0,0,1,1,0,Somewhat better protected,,786.2
Janet Wesonga,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities  Household chores ,1,0,0,1,0,0,,Yes,Farming/fishing yields   Health  Livestock ,1,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short distance.,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After cleaning the environment Before eating food After handling child/adult feces or cleaning child's bottom,1,1,1,0,1,,Often,Often,Sometimes ,Often,Often,Yes,Adult women,1,0,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Good hygiene.,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings Dug or cleared drainage/canals  Built/raised latrine above ground,1,1,1,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Water committee roles  Hygiene trainers ,1,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,"Build latrines in a higher level, store enough food.",Yes,Canal Committee Village Head SMS/radio,1,1,0,1,0,Somewhat better protected,,458.32
Tom Akumu,Kabong'o,Male ,,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,51–100 litres ,Daily,>1 hour,30–60 min ,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,School attendance (especially girls)  Childcare ,0,1,1,0,0,0,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Less queueing to fetch water,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After cleaning the environment Before eating food,1,0,1,0,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men,1,1,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,Stop using medication on treatment,,No,,Yes,,,No,Much safer,Stored food/water in advance Planted trees along canals,1,0,0,0,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss,1,1,0,0,0,,Prepare canals,Yes,Government official SMS/radio,0,0,1,1,0,Much better protected,,424.04
Elizabeth Anyango,Borda,Female,Yes,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,20–50 litres ,3–6 times/week ,30–60 min ,30–60 min ,Same,,,,,,,,Yes,Household chores  Rest/Leisure  Income generating activities ,1,0,0,1,1,0,,Yes,Farming/fishing yields ,1,0,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,No queewingy,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Children Youth,1,0,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers",1,1,0,1,1,0,0,0,0,0,,Yes,Reduce diseases like cholera,,No,,Yes,,,No,Much less safe ,Dug or cleared drainage/canals Stored food/water in advance Raised household belongings Planted trees along canals,1,1,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Somewhat usefu,No change,Yes,Yes,No,"Yes, significantly ",Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination,1,1,1,0,0,,To move on mountain places,Yes,Government official SMS/radio Village Head,0,1,1,1,0,Much better protected,,295.05
Eveline Adhiambo Otieno ,Kagola West,Female,Yes,No,,60+ years (Elderly),"Other, Specify",Small business tomatoe seller,"0 - 10,000",Yes,20–50 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Yes,Rest/Leisure  Household chores  Childcare  Income generating activities ,1,1,0,1,1,0,,No,Other,0,0,0,0,0,0,1,It has not increased any souce  i only sell my tomatoes,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Reduced long queues ,,Water Committee,Water Committee,Water Committee,Don’t know,Not sure,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After cleaning the environment Before preparing food Before eating food After defecation,1,0,1,1,1,,Often,Often,Often,Often,Often,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,Much safer,None,0,0,0,0,0,0,1,0,,Yes,No,,Not Sure,Not Sure,Not Sure,Yes,Maintenance jobs ,0,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,No, Somewhat ,Somewhat effective,No,Less erosion ,Better drainage ,No effect,,,No,,,,,,,,,No,,,,,,,Somewhat better protected,,444.1
Andericus Oguma,Kaswa,Male ,,No,,60+ years (Elderly),"Other, Specify",Get from well-wishers,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Childcare  Household chores ,0,1,0,1,0,0,,No, Health  Livestock ,0,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,No,Yes,Short line for the cinsumers,,Water Committee,Water Committee,Water Committee,Yes,No,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,No,Before preparing food Before eating food,0,0,0,1,1,,Sometimes ,Often,Sometimes ,Often,Sometimes ,Yes,Youth Adult men,0,1,0,1,0,,Wash hands with soap after defecation Built or improved household latrine,1,0,1,0,0,0,0,0,0,0,,Yes,Because we don't get germs,,Yes,Malaria,Yes,,,No,Much safer,Dug or cleared drainage/canals  Built/raised latrine above ground,0,0,1,1,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Hygiene trainers  Maintenance jobs ,0,1,1,0,0,Very useful,Somewhat,No,,No, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss,1,1,0,0,0,,To distilled canals around my home and farms,Yes,SMS/radio Government official,0,0,1,1,0,Somewhat better protected,,216.23
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,51–100 litres ,Daily,>1 hour,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls) ,1,1,1,0,0,0,,Yes,Small businesses  Farming/fishing yields ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Sufficient water supply ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After cleaning the environment,1,0,1,0,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men,1,1,0,0,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination)",1,0,0,1,0,0,0,0,0,0,,Yes,Keeping hand washing practices effectively ,,No,,Yes,,,Yes,Much safer,Stored food/water in advance Planted trees along canals,1,0,0,0,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss,1,1,0,0,0,,Digging of canals ,Yes,Canal Committee Government official SMS/radio,1,0,1,1,0,Somewhat better protected,,254.61
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Casual Labour,,"10,001 - 20,000",Yes,>100 litres,3–6 times/week ,<30 min ,<30 min,Same,,,,,,,,Yes,Household chores  Childcare  Income generating activities ,1,1,0,1,0,0,,Yes,Farming/fishing yields   Health  Livestock ,1,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,"More kiosks have been added, meaning no more long queues",,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Store water safely in clean, covered containers Constructed or use a handwashing station (e.g., tippy tap) Keep latrine and surrounding area clean Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,1,0,1,1,0,0,,Yes,"Through hand washing, there's less spread of germs",,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Damaged,No change,Farming/fishing improved ,,,No,,,,,,,,,Not sure,,,,,,,Somewhat better protected,,386.27
Andericus Oguma,Kaswa,Female,No,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Daily,>1 hour,30–60 min ,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Childcare  Household chores ,0,1,0,1,0,0,,Yes,Farming/fishing yields   Health ,1,0,0,0,1,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Canals directs water and we have short line when fetching water ,,Water Committee,Water Committee,Water Committee,Yes,Not sure,No,,,,,, Rarely ,It might sinks ,No,,,Before preparing food Before eating food,0,0,0,1,1,,Sometimes ,Often,Sometimes ,Sometimes ,Often,Yes,Youth Children,0,0,1,1,0,,Wash hands with soap before eating or preparing food Wash hands with soap after defecation Built or improved household latrine,1,1,1,0,0,0,0,0,0,0,,Yes,We know how an when to wash our hands ,,No,,Yes,,,No,Much safer,Stored food/water in advance Dug or cleared drainage/canals Planted trees along canals,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Latrine collapse Property damage,1,1,0,1,0,,Dig canals around our homes,Yes,SMS/radio Government official,0,0,1,1,0,Somewhat better protected,,485.96
Judith Onyango,Borda,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,20–50 litres ,Daily,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,Yes,Farming/fishing yields  Small businesses  Education   Health  Livestock ,1,1,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Water is available for any time and past when their is flooded no water,,Water Committee,Water Committee,Water Committee,Yes,Not sure,No,,,,,, Rarely ,It's Okey when their is no flood but when  it is raining it easy to sink.,Yes,Yes,Yes,After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,0,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Built or improved household latrine Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap)",1,1,1,1,1,0,1,1,0,0,,Yes,It reduces stomach running because they are using clean water.,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings Dug or cleared drainage/canals  Built/raised latrine above ground Planted trees along canals,1,1,1,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Digging the canal around the house,Yes,Village Head Government official SMS/radio,0,1,1,1,0,Somewhat better protected,,174.52
Mollet Atieno,Kokech,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Rarely,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Paid maintenance jobs  Education   Health  Livestock ,1,1,1,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Unites the community,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Reduction of waterborne diseases,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Somewhat effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Latrine collapse Water source contamination,1,1,1,1,0,,Creating more dykes,Yes,Canal Committee Village Head,1,1,0,0,0,Somewhat better protected,,800.05
Tom Ocharo,Kokech,Male ,,No,,18-35 years (Youth),Farming,,"20,001 and Above",Yes,>100 litres,Never,>1 hour,>1 hour,Same,,,,,,,,No,,,,,,,,,No,Other,0,0,0,0,0,0,1,None,No change ,Yes,,No,,Yes,Yes,Desilting of the canals have improved water flow and averted the flood.Not only that but also reduced conflict over the water by providing cattle water trough,,Water Committee,Don't know,County Government,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth Children Other,1,1,1,1,1,"Chiefs and assistant Chiefs,ward administrator","Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Practice safe disposal of child feces",1,1,1,1,1,1,0,0,1,0,,Yes,By practicing hygiene standards,,No,,Yes,,,No,No change ,Stored food/water in advance Dug or cleared drainage/canals,1,0,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Damaged,More shade/food ,No effect,,,No,,,,,,,,,Yes,SMS/radio Government official,0,0,1,1,0,Much better protected,,316.26
